,Color,Year of car manufacture,Length,price,Width,Brand Name,Transmission type,Seats,Body type,city,Car model,kilometer driven,Insurance Validity_value,Fuel type,Number of previous owners,Engine Displacement_value(cc)
0,Black,2022,3995mm,1150000.0,1790,Kia,Automatic,5.0,SUV,chennai,Kia Sonet,20000,Third Party insurance,Petrol,1,998
1,Grey,2015,3675mm,415000.00000000006,1475mm,Maruti,Manual,7.0,Minivans,chennai,Maruti Eeco,20687,Comprehensive,Petrol,1,1196
2,Others,2021,3994mm,750000.0,1758,Nissan,Manual,5.0,SUV,chennai,Nissan Magnite,30000,Third Party insurance,Petrol,1,999
3,Silver,2015,3585mm,398000.0,1595mm,Hyundai,Manual,5.0,Hatchback,chennai,Hyundai i10,59247,Comprehensive,Petrol,1,1086
4,Others,2015,3955mm,550000.0,1694mm,Honda,Manual,5.0,Hatchback,chennai,Honda Jazz,50000,Third Party insurance,Petrol,1,1199
5,White,2016,4879mm,3300000.0,2071mm,Mercedes-Benz,Automatic,5.0,Sedan,chennai,Mercedes-Benz E-Class,20000,Comprehensive,Diesel,1,2143
6,Blue,2016,3715mm,453000.0,1635mm,Maruti,Automatic,5.0,Hatchback,chennai,Maruti Celerio,29403,Comprehensive,Petrol,1,998
7,Grey,2010,3500mm,285000.0,1600mm,Maruti,Manual,5.0,Hatchback,chennai,Maruti A-Star,42700,Comprehensive,Petrol,1,998
8,Grey,2018,4708mm,5000000.0,1891mm,BMW,Automatic,5.0,SUV,chennai,BMW X3,23001,Comprehensive,Diesel,1,1995
9,Black,2018,3998mm,821000.0000000001,1765mm,Ford,Automatic,5.0,SUV,chennai,Ford Ecosport,25925,Comprehensive,Petrol,2,1497
10,Blue,2021,3995mm,865000.0,1775mm,Hyundai,Manual,5.0,Hatchback,chennai,Hyundai i20,20000,Third Party insurance,Petrol,1,1197
11,Silver,2019,3955 mm,792000.0,1694 mm,Honda,Automatic,5.0,Hatchback,chennai,Honda Jazz,17711,Comprehensive,Petrol,1,1199
12,White,2020,4709mm,4050000.0,1827mm,BMW,Automatic,5.0,Sedan,chennai,BMW 3 Series,50000,Comprehensive,Diesel,1,1995
13,Others,2018,3840mm,610000.0,1735mm,Maruti,Manual,5.0,Hatchback,chennai,Maruti Swift,50000,Third Party insurance,Petrol,1,1197
14,White,2018,3765mm,511000.00000000006,1660mm,Hyundai,Manual,5.0,Hatchback,chennai,Hyundai Grand i10,51125,Comprehensive,Petrol,2,1197
15,Orange,2019,3994mm,710000.0,1811mm,Tata,Manual,5.0,SUV,chennai,Tata Nexon,69233,Comprehensive,Diesel,1,1497
16,White,2017,4405mm,1225000.0,1818mm,Jeep,Manual,5.0,SUV,chennai,Jeep Compass,65000,Comprehensive,Diesel,1,1956
17,Brown,2014,4440mm,570000.0,1695mm,Honda,Manual,5.0,Sedan,chennai,Honda City,93281,Comprehensive,Petrol,1,1497
18,White,2022,4795mm,3900000.0,1855mm,Toyota,Manual,7.0,SUV,chennai,Toyota Fortuner,18000,Comprehensive,Diesel,1,2755
19,White,2014,3990mm,375000.0,1680mm,Honda,Manual,5.0,Sedan,chennai,Honda Amaze,99225,Comprehensive,Petrol,2,1198
20,Others,2016,3515mm,275000.0,1550mm,Hyundai,Manual,5.0,Hatchback,chennai,Hyundai EON,30000,Third Party insurance,Petrol,1,998
21,Silver,2014,3990mm,429000.0,1680mm,Honda,Manual,5.0,Sedan,chennai,Honda Amaze,30602,Comprehensive,Petrol,1,1198
22,Red,2018,3840mm,675000.0,1735mm,Maruti,Manual,5.0,Hatchback,chennai,Maruti Swift,64500,Comprehensive,Diesel,1,1248
23,White,2017,4440mm,793000.0,1695mm,Honda,Manual,5.0,Sedan,chennai,Honda City,46809,Comprehensive,Petrol,2,1497
25,White,2019,4270mm,1425000.0,1780mm,Hyundai,Automatic,5.0,SUV,chennai,Hyundai Creta,20000,Comprehensive,Diesel,1,1582
26,Red,2020,3995 mm,1036000.0,1770 mm,Hyundai,Automatic,5.0,SUV,chennai,Hyundai Venue,21725,Third Party,Petrol,1,998
27,Others,2016,4440mm,800000.0,1695mm,Honda,Manual,5.0,Sedan,chennai,Honda City,80000,Third Party insurance,Petrol,1,1497
28,Blue,2013,4915mm,1400000.0,2086mm,Audi,Automatic,5.0,Sedan,chennai,Audi A6,88000,Third Party insurance,Petrol,2,1984
29,Black,2019,4440mm,1088000.0,1695mm,Honda,Automatic,5.0,Sedan,chennai,Honda City,30360,Third Party,Petrol,2,1497
30,Others,2017,3995mm,590000.0,1745mm,Maruti,Automatic,5.0,Hatchback,chennai,Maruti Baleno,70000,Third Party insurance,Petrol,2,1197
31,Red,2016,3765mm,568000.0,1660mm,Hyundai,Manual,5.0,Hatchback,chennai,Hyundai Grand i10,16246,Comprehensive,Petrol,1,1197
32,White,2017,3600mm,400000.0,1600mm,Maruti,Automatic,5.0,Hatchback,chennai,Maruti Celerio,55000,Comprehensive,Petrol,2,998
33,White,2022,4735mm,2790000.0,1830mm,Toyota,Automatic,7.0,MUV,chennai,Toyota Innova Crysta,13000,Comprehensive,Petrol,1,2694
34,Red,2016,3715mm,422000.0,1635mm,Maruti,Automatic,5.0,Hatchback,chennai,Maruti Celerio,71638,Third Party,Petrol,2,998
35,White,2015,3990mm,450000.0,1680mm,Honda,Manual,5.0,Sedan,chennai,Honda Amaze,46105,Comprehensive,Petrol,1,1198
36,Others,2017,3999mm,650000.0,1734mm,Honda,Manual,5.0,SUV,chennai,Honda WR-V,60000,Third Party insurance,Petrol,1,1199
37,Others,2017,3955mm,575000.0,1694mm,Honda,Manual,5.0,Hatchback,chennai,Honda Jazz,80000,Third Party insurance,Diesel,1,1498
38,Grey,2015,4359mm,1950000.0,2010mm,Mercedes-Benz,Automatic,5.0,Hatchback,chennai,Mercedes-Benz B Class,58000,Comprehensive,Diesel,1,2143
39,Silver,2008,4095mm,150000.0,1575mm,Maruti,Manual,5.0,Sedan,chennai,Maruti Esteem,70000,Third Party insurance,Petrol,2,1298
40,Grey,2017,3995mm,702000.0,1745mm,Maruti,Automatic,5.0,Hatchback,chennai,Maruti Baleno,61764,Third Party,Petrol,1,1197
41,Orange,2016,3675mm,448000.00000000006,1715mm,Mahindra,Manual,6.0,SUV,chennai,Mahindra KUV 100,36018,Third Party insurance,Petrol,2,1198
42,Others,2016,4315mm,650000.0,1822mm,Renault,Automatic,5.0,SUV,chennai,Renault Duster,150000,Third Party insurance,Diesel,1,1461
43,Black,2022,3805mm,801000.0,1680,Hyundai,Manual,5.0,Hatchback,chennai,Hyundai Grand i10 Nios,17197,Third Party,Petrol,1,998
44,Brown,2016,4440mm,772000.0,1695mm,Honda,Automatic,5.0,Sedan,chennai,Honda City,62931,Comprehensive,Petrol,2,1497
45,Others,2013,4620mm,500000.0,1776mm,Toyota,Manual,5.0,Sedan,chennai,Toyota Corolla Altis,90000,Third Party insurance,Petrol,2,1798
46,Red,2021,3995mm,1103000.0,1821mm,Mahindra,Manual,5.0,SUV,chennai,Mahindra XUV300,21023,Third Party,Petrol,1,1197
47,White,2018,4620mm,1490000.0,1775mm,Toyota,Manual,5.0,Sedan,chennai,Toyota Corolla Altis,43000,Comprehensive,Diesel,1,1364
48,Silver,2017,3995mm,627000.0,1735mm,Maruti,Automatic,5.0,Sedan,chennai,Maruti Swift Dzire,110505,Third Party insurance,Diesel,1,1248
49,Silver,2018,4440mm,835000.0,1729mm,Hyundai,Manual,5.0,Sedan,chennai,Hyundai Verna,78892,Third Party insurance,Petrol,1,1591
50,White,2015,4933mm,2089999.9999999998,1874mm,Audi,Automatic,5.0,Sedan,chennai,Audi A6,59000,Third Party insurance,Diesel,1,1968
51,White,2014,4249mm,350000.0,1690mm,Chevrolet,Manual,5.0,Sedan,chennai,Chevrolet Sail,90058,Comprehensive,Petrol,1,1199
52,White,2015,4629mm,2100000.0,2089mm,Audi,Automatic,5.0,SUV,chennai,Audi Q5,69000,Third Party insurance,Diesel,1,2967
53,Red,2019,3999mm,925000.0,1734mm,Honda,Manual,5.0,SUV,chennai,Honda WR-V,67000,Comprehensive,Diesel,1,1498
54,Others,2017,4490mm,850000.0,1730mm,Maruti,Manual,5.0,Sedan,chennai,Maruti Ciaz,80000,Third Party insurance,Diesel,1,1248
55,Others,2017,4490mm,850000.0,1730mm,Maruti,Manual,5.0,Sedan,chennai,Maruti Ciaz,80000,Third Party insurance,Diesel,1,1248
56,White,2020,5052 mm,6600000.0,2212 mm,Audi,Automatic,7.0,SUV,chennai,Audi Q7,57000,Comprehensive,Diesel,1,2967
57,Black,2018,4735mm,2150000.0,1830mm,Toyota,Manual,8.0,MUV,chennai,Toyota Innova Crysta,800000,Comprehensive,Diesel,1,2393
58,Blue,2018,4686mm,3600000.0,2020mm,Mercedes-Benz,Automatic,5.0,Sedan,chennai,Mercedes-Benz C-Class,5500000,Comprehensive,Diesel,1,2143
59,White,2017,5219mm,6800000.0,2142mm,BMW,Automatic,5.0,Sedan,chennai,BMW 7 Series,27000,Comprehensive,Diesel,1,2993
60,Silver,2018,3994mm,707000.0,1811mm,Tata,Manual,5.0,SUV,chennai,Tata Nexon,38334,Comprehensive,Petrol,1,1198
61,Red,2019,3971mm,680000.0,1682mm,Volkswagen,Manual,5.0,Hatchback,chennai,Volkswagen Polo,36992,Third Party insurance,Petrol,1,999
62,Red,2016,4657mm,3750000.0,2089mm,BMW,Automatic,5.0,SUV,chennai,BMW X3,50000,Comprehensive,Diesel,2,2993
63,Silver,2021,4661mm,2039000.0,1894mm,Tata,Automatic,6.0,SUV,chennai,Tata New Safari,34596,Comprehensive,Diesel,1,1956
64,White,2019,3788mm,401000.0,1636mm,Datsun,Manual,5.0,Hatchback,chennai,Datsun GO,84564,Third Party,Petrol,1,1198
65,Silver,2013,4879mm,2150000.0,1854mm,Mercedes-Benz,Automatic,5.0,Sedan,chennai,Mercedes-Benz E-Class,60001,Comprehensive,Diesel,2,2143
66,White,2018,3610 mm,505000.0,1645 mm,Hyundai,Manual,5.0,Hatchback,chennai,Hyundai Santro,23462,Zero Dep,Petrol,1,1086
67,Red,2022,4221mm,1599000.0,1760mm,Volkswagen,Automatic,5.0,SUV,chennai,Volkswagen Taigun,13000,Third Party insurance,Petrol,1,999
68,Red,2019,3995mm,830000.0000000001,1695mm,Honda,Automatic,5.0,Sedan,chennai,Honda Amaze,54658,Comprehensive,Diesel,1,1498
69,Green,2020,3995mm,1036000.0,1821mm,Mahindra,Manual,5.0,SUV,chennai,Mahindra XUV300,34164,Third Party,Petrol,1,1197
70,Gray,2022,4315mm,1595000.0,1800mm,Kia,Manual,5.0,SUV,chennai,Kia Seltos,10000,Third Party insurance,Petrol,1,1497
71,Red,2010,3987mm,100000.0,1687mm,Fiat,Manual,5.0,Hatchback,chennai,Fiat Punto,70000,Third Party insurance,Petrol,3,1368
72,Blue,2020,3995 mm,825000.0,1770 mm,Hyundai,Manual,5.0,SUV,chennai,Hyundai Venue,37000,Third Party insurance,Petrol,1,1197
74,Blue,2016,3995mm,550000.0,1745mm,Maruti,Manual,5.0,Hatchback,chennai,Maruti Baleno,53967,Comprehensive,Petrol,1,1197
75,Red,2011,3585mm,299000.0,1595mm,Hyundai,Manual,5.0,Hatchback,chennai,Hyundai i10,52700,Comprehensive,Petrol,1,1197
76,Others,2018,3994mm,750000.0,1811mm,Tata,Automatic,5.0,SUV,chennai,Tata Nexon,60000,Third Party insurance,Petrol,1,1198
77,Blue,2016,3995mm,550000.0,1745mm,Maruti,Manual,5.0,Hatchback,chennai,Maruti Baleno,53967,Comprehensive,Petrol,1,1197
78,TAFETA WHITE,2014,3995mm,375000.0,1695mm,Honda,Manual,5.0,Sedan,chennai,Honda Amaze,99225,Comprehensive,Petrol,2,1199
79,Silver,2011,"4,560mm",265000.0,"1,730mm",Fiat,Manual,5.0,Sedan,chennai,Fiat Linea,60000,Third Party insurance,Petrol,2,1368
80,Red,2020,3989mm,808000.0,1694,Honda,Automatic,5.0,Hatchback,chennai,Honda Jazz,48220,Third Party,Petrol,1,1199
81,Red,2016,3955mm,542000.0,1694mm,Honda,Manual,5.0,Hatchback,chennai,Honda Jazz,72024,Third Party insurance,Petrol,1,1199
82,Others,2016,3990mm,529000.0,1680mm,Honda,Automatic,5.0,Sedan,chennai,Honda Amaze,80000,Third Party insurance,Petrol,1,1198
83,Black,2017,3971mm,684000.0,1682mm,Volkswagen,Manual,5.0,Hatchback,chennai,Volkswagen Polo,78735,Third Party,Petrol,1,1199
84,Red,2018,3998mm,813000.0000000001,1765mm,Ford,Manual,5.0,SUV,chennai,Ford Ecosport,72955,Zero Dep,Diesel,2,1498
85,Others,2015,4490mm,650000.0,1730mm,Maruti,Automatic,5.0,Sedan,chennai,Maruti Ciaz,40000,Third Party insurance,Petrol,1,1373
86,Grey,2021,4405mm,1802000.0,1818mm,Jeep,Manual,5.0,SUV,chennai,Jeep Compass,14037,Comprehensive,Petrol,1,1368
87,Silver,2019,3985mm,745000.0,1734mm,Hyundai,Manual,5.0,Hatchback,chennai,Hyundai i20,29000,Comprehensive,Petrol,1,1197
88,Silver,2017,3995mm,619000.0,1745mm,Maruti,Manual,5.0,Hatchback,chennai,Maruti Baleno,69864,Third Party insurance,Petrol,1,1197
89,Silver,2019,3995mm,650000.0,1660mm,Hyundai,Manual,5.0,Sedan,chennai,Hyundai Xcent,35739,Third Party insurance,Petrol,1,1197
90,Others,2016,3955mm,500000.0,1694mm,Honda,Automatic,5.0,Hatchback,chennai,Honda Jazz,120000,Third Party insurance,Petrol,2,1199
91,Silver,2019,4296mm,1145000.0,1695mm,Maruti,Manual,7.0,MUV,chennai,Maruti Ertiga,18000,Comprehensive,Diesel,1,1248
92,Orange,2019,4598mm,1600000.0,1894mm,Tata,Manual,5.0,SUV,chennai,Tata Harrier,21000,Comprehensive,Diesel,1,1956
93,Grey,2016,3995mm,540000.0,1745mm,Maruti,Manual,5.0,Hatchback,chennai,Maruti Baleno,70404,Comprehensive,Petrol,1,1197
94,Black,2015,4390mm,675000.0,1699mm,Volkswagen,Manual,5.0,Sedan,chennai,Volkswagen Vento,63000,Comprehensive,Petrol,1,1598
95,White,2017,3995mm,509999.99999999994,1682mm,Volkswagen,Manual,5.0,Sedan,chennai,Volkswagen Ameo,88000,Third Party insurance,Petrol,2,1198
96,Silver,2017,4440mm,830000.0000000001,1695mm,Honda,Manual,5.0,Sedan,chennai,Honda City,65000,Comprehensive,Petrol,1,1497
97,Red,2017,4600mm,3900000.0,2173mm,Land Rover,Automatic,7.0,SUV,chennai,Land Rover Discovery Sport,30000,Third Party insurance,Diesel,2,2179
98,Golden,2012,4440mm,509999.99999999994,1695mm,Honda,Automatic,5.0,Sedan,chennai,Honda City,71423,Comprehensive,Petrol,1,1497
99,Others,2019,4445mm,1200000.0,1775mm,Maruti,Automatic,6.0,MUV,chennai,Maruti XL6,80000,Third Party insurance,Petrol,1,1462
100,Brown,2017,4440mm,766000.0,1695mm,Honda,Manual,5.0,Sedan,chennai,Honda City,85759,Third Party,Petrol,1,1497
101,Silver,2019,3610 mm,449000.0,1645 mm,Hyundai,Manual,5.0,Hatchback,chennai,Hyundai Santro,24422,Zero Dep,Petrol,1,1086
102,White,2017,4440mm,750000.0,1729mm,Hyundai,Manual,5.0,Sedan,chennai,Hyundai Verna,90000,Third Party insurance,Petrol,4,1591
103,Red,2012,3610mm,317000.0,1680mm,Honda,Manual,5.0,Hatchback,chennai,Honda Brio,67091,Third Party,Petrol,2,1198
104,Maroon,2020,4655mm,1560000.0,1835mm,MG,Manual,5.0,SUV,chennai,MG Hector,72787,Third Party,Petrol,1,1451
105,Others,2017,4892mm,1900000.0,1860mm,Ford,Manual,7.0,SUV,chennai,Ford Endeavour,120000,Third Party insurance,Diesel,2,2198
106,Red,2017,3765mm,522000.0,1660mm,Hyundai,Manual,5.0,Hatchback,chennai,Hyundai Grand i10,90142,Comprehensive,Petrol,1,1197
107,Others,2015,3985mm,500000.0,1734mm,Hyundai,Manual,5.0,Hatchback,chennai,Hyundai i20,150000,Third Party insurance,Petrol,1,1197
108,Red,2018,3954mm,627000.0,1737mm,Ford,Manual,5.0,Hatchback,chennai,Ford Freestyle,33256,Comprehensive,Petrol,1,1194
109,Silver,2018,3995mm,687000.0,1745mm,Maruti,Automatic,5.0,Hatchback,chennai,Maruti Baleno,70027,Comprehensive,Petrol,1,1197
110,White,2007,"4,800 mm",204999.99999999997,"1,832 mm",Hyundai,Manual,5.0,Sedan,chennai,Hyundai Sonata,120000,Third Party insurance,Diesel,3,1991
111,Others,2015,3971mm,525000.0,1682mm,Volkswagen,Manual,5.0,Hatchback,chennai,Volkswagen Polo,60000,Third Party insurance,Petrol,2,1199
112,Grey,2017,3840mm,620000.0,1735mm,Maruti,Manual,5.0,Hatchback,chennai,Maruti Swift,73686,Third Party insurance,Diesel,1,1248
113,Red,2018,3995mm,825000.0,1835mm,Mahindra,Manual,7.0,SUV,chennai,Mahindra TUV 300,44000,Comprehensive,Diesel,2,1493
114,White,2015,3840mm,530000.0,1735mm,Maruti,Manual,5.0,Hatchback,chennai,Maruti Swift,75581,Comprehensive,Petrol,1,1197
115,Blue,2015,4817mm,3600000.0,2141mm,Mercedes-Benz,Automatic,5.0,SUV,chennai,Mercedes-Benz M-Class,58000,Comprehensive,Diesel,1,2143
116,P Black,2015,4456mm,1950000.0,1960mm,Audi,Automatic,5.0,Sedan,chennai,Audi A3,50000,Comprehensive,Diesel,2,1968
117,Others,2015,3995mm,650000.0,1835mm,Mahindra,Manual,7.0,SUV,chennai,Mahindra TUV 300,100000,Third Party insurance,Diesel,1,1493
118,White,2017,4490mm,650000.0,1730mm,Maruti,Manual,5.0,Sedan,chennai,Maruti Ciaz,108902,Third Party insurance,Diesel,1,1248
119,Silver,2016,3995mm,570000.0,1682mm,Volkswagen,Manual,5.0,Sedan,chennai,Volkswagen Ameo,100425,Comprehensive,Diesel,1,1498
120,Silver,2016,3995mm,458000.0,1660mm,Hyundai,Manual,5.0,Sedan,chennai,Hyundai Xcent,70887,Third Party,Petrol,2,1197
121,Silver,2016,4440mm,577000.0,1695mm,Honda,Manual,5.0,Sedan,chennai,Honda City,114981,Comprehensive,Petrol,2,1497
122,White,2018,3999mm,900000.0,1734mm,Honda,Manual,5.0,SUV,chennai,Honda WR-V,45000,Comprehensive,Petrol,1,1199
123,White,2021,3805mm,649000.0,1680,Hyundai,Manual,5.0,Hatchback,chennai,Hyundai Grand i10 Nios,45416,Comprehensive,Petrol,1,1197
124,Silver,2016,3985mm,549000.0,1734mm,Hyundai,Manual,5.0,Hatchback,chennai,Hyundai i20,119468,Third Party insurance,Petrol,1,1197
125,Others,2015,4384mm,650000.0,1699mm,Volkswagen,Automatic,5.0,Sedan,chennai,Volkswagen Vento,100000,Third Party insurance,Diesel,3,1498
126,Red,2017,3995mm,513999.99999999994,1735,Maruti,Manual,5.0,Sedan,chennai,Maruti Swift Dzire,119975,Third Party,Petrol,1,1197
127,White,2017,4824mm,3900000.0,1811 mm,BMW,Automatic,5.0,Sedan,chennai,BMW 3 Series,19000,Comprehensive,Petrol,1,1998
128,Silver,2016,3765mm,455999.99999999994,1660mm,Hyundai,Manual,5.0,Hatchback,chennai,Hyundai Grand i10,64906,Comprehensive,Petrol,2,1197
129,Red,2016,3995mm,501999.99999999994,1745mm,Maruti,Manual,5.0,Hatchback,chennai,Maruti Baleno,81484,Comprehensive,Petrol,2,1197
130,Blue,2018,3995mm,685000.0,1735mm,Maruti,Manual,5.0,Sedan,chennai,Maruti Swift Dzire,45067,Comprehensive,Petrol,1,1197
131,Blue,2018,5453mm,11000000.0,2130mm,Mercedes-Benz,Automatic,4.0,Sedan,chennai,Mercedes-Benz S-Class,68000,Third Party insurance,Petrol,1,4663
132,Brown,2016,3955mm,580000.0,1694mm,Honda,Manual,5.0,Hatchback,chennai,Honda Jazz,65768,Comprehensive,Petrol,1,1199
133,Golden brown,2016,3955mm,530000.0,1694mm,Honda,Manual,5.0,Hatchback,chennai,Honda Jazz,61000,Comprehensive,Petrol,2,1199
134,Silver,2009,5206mm,1700000.0,1871mm,Mercedes-Benz,Automatic,5.0,Sedan,chennai,Mercedes-Benz S-Class,50000,Comprehensive,Diesel,3,2987
135,Blue,2018,4907mm,4375000.0,2102mm,BMW,Automatic,5.0,Sedan,chennai,BMW 5 Series,23000,Comprehensive,Diesel,1,1995
136,White,2018,5219mm,8200000.0,2142mm,BMW,Automatic,5.0,Sedan,chennai,BMW 7 Series,17000,Comprehensive,Diesel,1,2993
137,Grey,2017,3715mm,420000.0,1635mm,Maruti,Automatic,5.0,Hatchback,chennai,Maruti Celerio,102958,Comprehensive,Petrol,1,998
138,Silver,2013,4620mm,775000.0,1776mm,Toyota,Manual,5.0,Sedan,chennai,Toyota Corolla Altis,62900,Comprehensive,Diesel,1,1364
139,Silver,2015,3599mm,395000.0,1495mm,Maruti,Manual,5.0,Hatchback,chennai,Maruti Wagon R,65076,Comprehensive,Petrol,2,998
140,Blue,2016,3995mm,533000.0,1745mm,Maruti,Manual,5.0,Hatchback,chennai,Maruti Baleno,75876,Comprehensive,Petrol,1,1197
141,Red,2015,3985mm,547000.0,1734mm,Hyundai,Manual,5.0,Hatchback,chennai,Hyundai i20,98911,Third Party insurance,Petrol,1,1197
142,Blue,2015,3715mm,395000.0,1635mm,Maruti,Manual,5.0,Hatchback,chennai,Maruti Celerio,45000,Comprehensive,Petrol,1,998
143,White,2017,4375mm,908000.0,1700mm,Hyundai,Automatic,5.0,Sedan,chennai,Hyundai Verna,76089,Third Party,Diesel,1,1582
144,Silver,2017,3765mm,521000.0,1660mm,Hyundai,Manual,5.0,Hatchback,chennai,Hyundai Grand i10,54505,Third Party,Petrol,2,1197
145,White,2019,4458mm,2290000.0,1796mm,Audi,Automatic,5.0,Sedan,chennai,Audi A3,24000,Third Party insurance,Diesel,1,1968
146,Red,2016,3995mm,507000.0,1735,Maruti,Manual,5.0,Sedan,chennai,Maruti Swift Dzire,96573,Zero Dep,Petrol,1,1197
147,White,2019,4315mm,1625000.0,1800mm,Kia,Automatic,5.0,SUV,chennai,Kia Seltos,30000,Comprehensive,Diesel,1,1493
148,Orange,2016,3765mm,528000.0,1660mm,Hyundai,Manual,5.0,Hatchback,chennai,Hyundai Grand i10,63720,Comprehensive,Petrol,2,1197
149,Silver,2021,3445mm,434999.99999999994,1515mm,Maruti,Manual,5.0,Hatchback,chennai,Maruti Alto 800,14411,Comprehensive,Petrol,1,796
150,Red,2022,4221mm,1490000.0,1760mm,Volkswagen,Automatic,5.0,SUV,chennai,Volkswagen Taigun,11000,Comprehensive,Petrol,1,999
151,Silver,2022,4225mm,1789999.9999999998,1760mm,Skoda,Automatic,5.0,SUV,chennai,Skoda Kushaq,21000,Comprehensive,Petrol,1,1498
152,Silver,2017,3999mm,625000.0,1734mm,Honda,Manual,5.0,SUV,chennai,Honda WR-V,34392,Comprehensive,Petrol,1,1199
153,Others,2022,3805mm,690000.0,1680,Hyundai,Manual,5.0,Hatchback,chennai,Hyundai Grand i10 Nios,20000,Third Party insurance,Petrol,1,1197
154,Black,2022,3995,1350000.0,1790,Kia,Manual,5.0,SUV,chennai,Kia Sonet,10000,Third Party insurance,Petrol,1,998
155,Others,2022,4323mm,1550000.0,1809mm,MG,Automatic,5.0,SUV,chennai,MG Astor,20000,Third Party insurance,Petrol,1,1498
156,Grey,2019,3995mm,790000.0,1745mm,Toyota,Automatic,5.0,Hatchback,chennai,Toyota Glanza,47000,Comprehensive,Petrol,1,1197
157,Red,2014,3545mm,270000.0,1515mm,Maruti,Manual,5.0,Hatchback,chennai,Maruti Alto K10,60333,Comprehensive,Petrol,2,998
158,Star Dust,2014,3765mm,365000.0,1660mm,Hyundai,Manual,5.0,Hatchback,chennai,Hyundai Grand i10,81058,Comprehensive,Diesel,1,1186
159,Brown,2010,4545mm,425000.0,1750mm,Honda,Manual,5.0,Sedan,chennai,Honda Civic,51800,Comprehensive,Petrol,2,1799
160,Orange,2016,3765mm,528000.0,1660mm,Hyundai,Manual,5.0,Hatchback,chennai,Hyundai Grand i10,32797,Comprehensive,Petrol,2,1197
161,Silver,2016,3765mm,511000.00000000006,1660mm,Hyundai,Manual,5.0,Hatchback,chennai,Hyundai Grand i10,69731,Comprehensive,Petrol,1,1197
162,Black,2016,4440mm,625000.0,1695mm,Honda,Manual,5.0,Sedan,chennai,Honda City,54000,Comprehensive,Petrol,2,1497
163,Blue,2016,3801mm,327000.0,1665mm,Nissan,Manual,5.0,Hatchback,chennai,Nissan Micra Active,110267,Comprehensive,Petrol,2,1198
164,Orange,2018,3675mm,505000.0,1715mm,Mahindra,Manual,6.0,SUV,chennai,Mahindra KUV 100,31767,Third Party insurance,Petrol,1,1198
165,METALL,2018,3999mm,640000.0,1734mm,Honda,Manual,5.0,SUV,chennai,Honda WR-V,45677,Comprehensive,Petrol,2,1199
166,Silver,2017,3695mm,449000.0,1655,Maruti,Manual,5.0,Hatchback,chennai,Maruti Celerio,66656,Comprehensive,Petrol,1,998
167,Grey,2019,3995mm,725000.0,1695mm,Honda,Manual,5.0,Sedan,chennai,Honda Amaze,27000,Comprehensive,Diesel,1,1498
168,Red,2021,3731mm,495000.0,1579mm,Renault,Manual,5.0,Hatchback,chennai,Renault KWID,37004,Comprehensive,Petrol,1,999
169,Silver,2011,3585mm,271000.0,1595mm,Hyundai,Manual,5.0,Hatchback,chennai,Hyundai i10,85274,Comprehensive,Petrol,2,1197
170,Others,2017,4270mm,940000.0,1780mm,Hyundai,Manual,5.0,SUV,chennai,Hyundai Creta,60000,Third Party insurance,Diesel,2,1582
171,White,2017,4440,799000.0,1695,Honda,Manual,5.0,Sedan,chennai,Honda City,42000,Comprehensive,Petrol,1,1497
172,Others,2022,4300mm,1850000.0,1790mm,Hyundai,Manual,5.0,SUV,chennai,Hyundai Creta,20000,Third Party insurance,Diesel,1,1493
173,Others,2022,4540mm,2000000.0,1800mm,Kia,Automatic,7.0,MUV,chennai,Kia Carens,30000,Third Party insurance,Diesel,1,1493
174,Black,2017,5063mm,4500000.0,1860mm,Mercedes-Benz,Automatic,5.0,Sedan,chennai,Mercedes-Benz E-Class,25000,Comprehensive,Diesel,1,1950
175,Others,2014,4585mm,700000.0,1890mm,Mahindra,Manual,7.0,SUV,chennai,Mahindra XUV500,80000,Third Party insurance,Diesel,3,2179
176,Others,2015,4370mm,585000.0,1700mm,Hyundai,Manual,5.0,Sedan,chennai,Hyundai Verna,60000,Third Party insurance,Petrol,2,1591
177,White,2022,4598mm,2050000.0,1894mm,Tata,Manual,5.0,SUV,chennai,Tata Harrier,20000,Third Party insurance,Diesel,1,1956
178,Others,2022,4655mm,1989999.9999999998,1835mm,MG,Automatic,5.0,SUV,chennai,MG Hector,20000,Third Party insurance,Petrol,1,1451
179,Others,2022,4655mm,1989999.9999999998,1835mm,MG,Automatic,5.0,SUV,chennai,MG Hector,20000,Third Party insurance,Petrol,1,1451
180,Blue,2020,4300mm,1445000.0,1790mm,Hyundai,Manual,5.0,SUV,chennai,Hyundai Creta,55037,Third Party,Diesel,2,1493
181,Silver,2018,3610 mm,451000.0,1645 mm,Hyundai,Manual,5.0,Hatchback,chennai,Hyundai Santro,65607,Zero Dep,Petrol,1,1086
183,Others,2016,3985mm,631000.0,1734mm,Hyundai,Manual,5.0,Hatchback,chennai,Hyundai i20,74777,Comprehensive,Petrol,1,1197
184,Silver,2012,4265mm,411000.00000000006,1695mm,Toyota,Manual,5.0,Sedan,chennai,Toyota Etios,102392,Comprehensive,Petrol,2,1496
185,White,2015,4386mm,500000.0,1699mm,Skoda,Manual,5.0,Sedan,chennai,Skoda Rapid,90210,Comprehensive,Diesel,1,1498
186,Silver,2014,3995mm,488000.0,1735,Maruti,Manual,5.0,Sedan,chennai,Maruti Swift Dzire,62373,Third Party,Petrol,1,1197
